signal,latent_dim,auc
SUEP,10,0.9696451394702675
SUEP,20,0.970792172942093
SUEP,30,0.9724091633861335
SUEP,40,0.9725680645806284
SUEP,50,0.9773053359127499
SUEP,60,0.9701801508958712
SUEP,70,0.9697937442482472
SUEP,80,0.9738288263567905
GluGluH→ττ,10,0.979588229925
GluGluH→ττ,20,0.981542687
GluGluH→ττ,30,0.9816688500874999
GluGluH→ττ,40,0.9819546349124999
GluGluH→ττ,50,0.984546604925
GluGluH→ττ,60,0.9800922485999999
GluGluH→ττ,70,0.9796312165875001
GluGluH→ττ,80,0.9828214465749999
GluGluH→gg,10,0.9938026872625
GluGluH→gg,20,0.9945402616749999
GluGluH→gg,30,0.9944701226125
GluGluH→gg,40,0.9945847227375001
GluGluH→gg,50,0.9954435935250001
GluGluH→gg,60,0.9939762835
GluGluH→gg,70,0.993766420175
GluGluH→gg,80,0.9948666898374998
H→2LL→4b,10,0.97105384138616
H→2LL→4b,20,0.9736786199838285
H→2LL→4b,30,0.9739626745592644
H→2LL→4b,40,0.9743640742804027
H→2LL→4b,50,0.9775355435578448
H→2LL→4b,60,0.9717864269069888
H→2LL→4b,70,0.9711930826653593
H→2LL→4b,80,0.9755393102624994
VBF H→ττ,10,0.9913062660000003
VBF H→ττ,20,0.9922519808625
VBF H→ττ,30,0.992272675275
VBF H→ττ,40,0.9924495213625
VBF H→ττ,50,0.9936076458750001
VBF H→ττ,60,0.9915611736750001
VBF H→ττ,70,0.9912593029124999
VBF H→ττ,80,0.99284978425
VBF H→bb,10,0.9939698988875001
VBF H→bb,20,0.9944351699749999
VBF H→bb,30,0.9946240930874999
VBF H→bb,40,0.9947220481250001
VBF H→bb,50,0.9957455317625
VBF H→bb,60,0.9941203324249999
VBF H→bb,70,0.9939232815125
VBF H→bb,80,0.9950131763375001
Z'→ττ,10,0.9955814114269506
Z'→ττ,20,0.9960401391201794
Z'→ττ,30,0.9960353449571069
Z'→ττ,40,0.9961136745430954
Z'→ττ,50,0.9966091185246668
Z'→ττ,60,0.9957010773310149
Z'→ττ,70,0.9955867474272027
Z'→ττ,80,0.9962965856390886
ZZ,10,0.985086488275
ZZ,20,0.986480726625
ZZ,30,0.9866849302374999
ZZ,40,0.9869789689624999
ZZ,50,0.9888777231
ZZ,60,0.985503598075
ZZ,70,0.9850388255375
ZZ,80,0.9876387159125001
tt,10,0.9991708957625001
tt,20,0.9991647745999999
tt,30,0.9992475005625001
tt,40,0.999250460075
tt,50,0.9994999027
tt,60,0.9991795676874999
tt,70,0.9991614610499999
tt,80,0.999292005
Single Neutrino,10,0.9103311395125
Single Neutrino,20,0.919527364925
Single Neutrino,30,0.91849116735
Single Neutrino,40,0.9200502655
Single Neutrino,50,0.9261189108375001
Single Neutrino,60,0.9126984667375
Single Neutrino,70,0.911049037375
Single Neutrino,80,0.9230303622375
